dimension,question_id,coef,model_direction,question_dim,question_sign,same_dim_conflict,scene,text
EI,q28,-0.4757,second,E_I,-1,False,人生目标,我理想中的退休生活是：宅家、打游戏、看番、撸猫，并且拒绝任何社交。
EI,q12,0.3856,first,E_I,1,False,社交场合,我能在漫展上和陌生人无缝对话“老师老师你是一个香香软软的......”。
EI,q32,-0.273,second,E_I,-1,False,自我认知,我觉得“社恐”不是缺陷，而是一种高级人设。
EI,q39,0.1807,first,E_I,1,False,社交分享,遇到喜欢的新番，我会立刻分享给群友并强行安利。
EI,q35,-0.1507,second,S_N,1,False,属性评价,相比于传统的“王道、元气”人设，我更容易被性格带有缺陷、偏执或有些黑深残的角色（如病娇、重力、腹黑）吸引。
EI,q23,0.1482,first,E_I,-1,True,自我坦白,我现在依然会在没人的时候（或在脑海里）幻想自己拥有超能力，甚至会念出中二台词。
EI,q26,0.1465,first,E_I,1,False,实用技能,我能在海量的表情包图库中极快地筛选出最贴切当下的回应，并在聊天中熟练地抛出它们。
EI,q29,0.1313,first,T_F,1,False,网络幽默,我很喜欢看那些有些缺德、冒犯性的‘地狱笑话’，并且经常能毫无心理负担地get到笑点。
EI,q11,-0.1227,second,E_I,-1,False,身份认同,在现实生活中被别人用“二次元”相关的词汇调侃时，我会感到有些尴尬或反感。
EI,q33,0.1127,first,J_P,1,False,追番习惯,为了追求效率或更快看完剧情，我经常习惯使用倍速播放来看番或实况视频。
EI,q24,0.1083,first,S_N,1,False,自我吐槽,虽然明知有些作品剧情薄弱像“工业糖精”，但我还是会因为人设可爱而看得津津有味。
EI,q6,-0.1056,second,S_N,-1,False,幻想偏好,如果我穿越到厕纸番剧里的异世界，第一件事不是去当勇者。
SN,q37,-0.258,second,J_P,1,False,考据行为,看番或玩游戏时，我热衷于去挖掘背后的隐藏设定、世界观隐喻，甚至逐帧分析细节。
SN,q23,-0.1133,second,E_I,-1,False,自我坦白,我现在依然会在没人的时候（或在脑海里）幻想自己拥有超能力，甚至会念出中二台词。
SN,q12,-0.077,second,E_I,1,False,社交场合,我能在漫展上和陌生人无缝对话“老师老师你是一个香香软软的......”。
SN,q31,-0.0725,second,J_P,-1,False,消费行为,我会仅仅为了抽到或看到某个喜欢的角色，去下载尝试一款我本来毫无兴趣的游戏。
SN,q28,0.0678,first,E_I,-1,False,人生目标,我理想中的退休生活是：宅家、打游戏、看番、撸猫，并且拒绝任何社交。
SN,q7,-0.0664,second,T_F,1,False,论战文化,我觉得“战力厨”为了谁更强吵上300楼，是一种行为艺术。
SN,q5,-0.0646,second,J_P,-1,False,数字生活,我会在up们索要三连时肌肉记忆地打出“下次一定”。
SN,q38,0.0622,first,J_P,1,False,游戏行为,我玩游戏一定会强迫自己清完所有支线和地图问号。
SN,q22,0.0607,first,T_F,-1,False,粉丝行为,我对喜欢的Vtuber或角色投入了很深的感情，如果他们‘毕业’或退圈，我会难过很久。
SN,q33,0.0562,first,J_P,1,False,追番习惯,为了追求效率或更快看完剧情，我经常习惯使用倍速播放来看番或实况视频。
SN,q9,-0.0552,second,T_F,-1,False,情绪波动,我经常在深夜因为情绪泛滥而发些emo的动态或评论。
SN,q25,0.0536,first,E_I,1,False,生存策略,如果在一个奇幻冒险的世界里，我更愿意作为队伍中不需要操心计划和战斗的“躺赢”角色生存。
TF,q9,-0.291,second,T_F,-1,False,情绪波动,我经常在深夜因为情绪泛滥而发些emo的动态或评论。
TF,q29,0.2479,first,T_F,1,False,网络幽默,我很喜欢看那些有些缺德、冒犯性的‘地狱笑话’，并且经常能毫无心理负担地get到笑点。
TF,q24,-0.1793,second,S_N,1,False,自我吐槽,虽然明知有些作品剧情薄弱像“工业糖精”，但我还是会因为人设可爱而看得津津有味。
TF,q2,-0.124,second,J_P,-1,False,生活态度,我的人生格言是“能躺着绝不坐着，能摆烂绝不内卷”。
TF,q19,-0.1009,second,T_F,-1,False,追番情感,看到一部长篇或深爱的番剧终于‘完结撒花’时，我会感到强烈的失落和空虚感。
TF,q25,-0.0911,second,E_I,1,False,生存策略,如果在一个奇幻冒险的世界里，我更愿意作为队伍中不需要操心计划和战斗的“躺赢”角色生存。
TF,q22,-0.0883,second,T_F,-1,False,粉丝行为,我对喜欢的Vtuber或角色投入了很深的感情，如果他们‘毕业’或退圈，我会难过很久。
TF,q37,0.0862,first,J_P,1,False,考据行为,看番或玩游戏时，我热衷于去挖掘背后的隐藏设定、世界观隐喻，甚至逐帧分析细节。
TF,q26,-0.085,second,E_I,1,False,实用技能,我能在海量的表情包图库中极快地筛选出最贴切当下的回应，并在聊天中熟练地抛出它们。
TF,q36,0.0842,first,E_I,1,False,身份认同,我认为“二次元”是我的精神避难。
TF,q27,-0.0795,second,T_F,-1,False,观众权利,我认为“结局喂屎”的作品，作者应该给读者磕头谢罪。
TF,q5,0.0733,first,J_P,-1,False,数字生活,我会在up们索要三连时肌肉记忆地打出“下次一定”。
JP,q8,-0.4152,second,J_P,-1,False,桌面管理,我不爱刻意整理电脑桌面或文件，哪怕看起来很乱我也懒得管。
JP,q2,-0.2685,second,J_P,-1,False,生活态度,我的人生格言是“能躺着绝不坐着，能摆烂绝不内卷”。
JP,q38,0.1024,first,J_P,1,False,游戏行为,我玩游戏一定会强迫自己清完所有支线和地图问号。
JP,q23,-0.0906,second,E_I,-1,False,自我坦白,我现在依然会在没人的时候（或在脑海里）幻想自己拥有超能力，甚至会念出中二台词。
JP,q20,0.0806,first,T_F,-1,False,圈内批判,我非常反感ACG圈子里拉踩、控评、打榜等“饭圈化”行为。
JP,q35,-0.0781,second,S_N,1,False,属性评价,相比于传统的“王道、元气”人设，我更容易被性格带有缺陷、偏执或有些黑深残的角色（如病娇、重力、腹黑）吸引。
JP,q30,-0.077,second,S_N,-1,False,伦理阈值,我会去看“骨科”题材的作品。
JP,q25,-0.075,second,E_I,1,False,生存策略,如果在一个奇幻冒险的世界里，我更愿意作为队伍中不需要操心计划和战斗的“躺赢”角色生存。
JP,q37,0.0742,first,J_P,1,False,考据行为,看番或玩游戏时，我热衷于去挖掘背后的隐藏设定、世界观隐喻，甚至逐帧分析细节。
JP,q31,-0.0716,second,J_P,-1,False,消费行为,我会仅仅为了抽到或看到某个喜欢的角色，去下载尝试一款我本来毫无兴趣的游戏。
JP,q9,-0.0628,second,T_F,-1,False,情绪波动,我经常在深夜因为情绪泛滥而发些emo的动态或评论。
JP,q6,0.0599,first,S_N,-1,False,幻想偏好,如果我穿越到厕纸番剧里的异世界，第一件事不是去当勇者。
