question_id,question_text,current_dimension,current_direction,lr_signal,conflict_flag,cross_dimension_interference,manual_decision,action,new_text,new_dimension,new_direction,notes
q23,"我现在依然会在没人的时候（或在脑海里）幻想自己拥有超能力，甚至会念出中二台词。",E_I,I,"EI 模型倾向 E；SN 模型也给出较强 N 信号",yes,yes,"题意更像抽象联想/幻想倾向，不应继续放在 E/I。","move_and_rewrite","我经常会把日常经历延展成设定、世界观或 if 线，而不只按现实细节理解。",S_N,N,"第一轮优先修正；从社交能量维度移到感知维度。"
q35,"相比于传统的“王道、元气”人设，我更容易被性格带有缺陷、偏执或有些黑深残的角色吸引。",S_N,S,"SN 模型倾向 N，且方向与当前 S 冲突",yes,no,"题面测的是复杂动机/隐喻吸引，不是现实细节。","rewrite_direction","比起直白的王道人设，我更容易被带有象征、隐喻或复杂动机的角色吸引。",S_N,N,"保留原主题，但把方向改成 N，减少黑深残偏好带来的情绪污染。"
q37,"看番或玩游戏时，我热衷于去挖掘背后的隐藏设定、世界观隐喻，甚至逐帧分析细节。",J_P,J,"SN 模型最强 N 信号，JP 也有 J 信号",no,yes,"它同时测到 N 与 J，但“隐藏设定/世界观隐喻”更适合 S/N。","move_and_rewrite","看作品时，我更容易先注意它背后的设定逻辑、象征结构和可能的伏笔，而不是只停留在眼前剧情。",S_N,N,"从 J/P 移出，避免把考据癖等同于计划性。"
q31,"我会仅仅为了抽到或看到某个喜欢的角色，去下载尝试一款我本来毫无兴趣的游戏。",J_P,P,"SN/JP/TF 均有信号，原题是消费冲动而非稳定 J/P",no,yes,"题面被角色厨行为污染，不适合作为 J/P 锚点。","rewrite_same_dimension","面对新活动或新玩法，我更愿意先上手探索，等卡住后再整理路线，而不是一开始就查清攻略和步骤。",J_P,P,"保留开放探索倾向，去掉抽卡和消费行为。"
q5,"我会在 up 们索要三连时肌肉记忆地打出“下次一定”。",J_P,P,"SN/TF/JP 均为弱跨维信号",no,yes,"梗反应不能稳定代表 P，容易测到平台文化熟悉度。","rewrite_same_dimension","计划被临时打断时，我通常能顺势调整，不会急着把流程拉回原计划。",J_P,P,"改成对临时变动的舒适度。"
q8,"我不爱刻意整理电脑桌面或文件，哪怕看起来很乱我也懒得管。",J_P,P,"JP 模型强 P 信号，但生活习惯污染明显",no,no,"方向可用，但题面把 P 写成懒/乱。","rewrite_same_dimension","面对还没定论的安排，我可以长期保留多个可能性，不急着马上定案。",J_P,P,"保留开放性，去掉桌面卫生和勤奋暗示。"
q2,"我的人生格言是“能躺着绝不坐着，能摆烂绝不内卷”。",J_P,P,"JP 模型强 P 信号，但懒散/摆烂污染明显",no,no,"方向可用，但题面会把疲惫、反内卷和 P 混在一起。","rewrite_same_dimension","开始一个项目时，我更愿意边做边试，让方向在过程中自然成形。",J_P,P,"保留探索式推进，去掉作息和勤奋判断。"
q38,"我玩游戏一定会强迫自己清完所有支线和地图问号。",J_P,J,"JP 模型稳定 J 信号",no,no,"方向可用，但游戏完成癖不等同于 closure。","rewrite_same_dimension","做一件事前，我倾向先确认目标、步骤和完成标准，再开始推进。",J_P,J,"改成结构化推进倾向。"
q9,"我经常在深夜因为情绪泛滥而发些 emo 的动态或评论。",T_F,F,"TF 模型稳定 F 信号",no,no,"可作为 T/F 情绪表达锚点，第一轮不改。","keep","",T_F,F,"保留，避免第一轮改动过多。"
q29,"我很喜欢看那些有些缺德、冒犯性的“地狱笑话”，并且经常能毫无心理负担地跟着笑。",T_F,T,"TF 模型稳定 T 信号",no,no,"可作为 T/F 脱敏幽默锚点，第一轮不改。","keep","",T_F,T,"保留，避免第一轮改动过多。"
